Year,Day,Hour,Station,P_YN,P_NG,P_JK,P_PH,P_Mean,S_YN,S_NG,S_JK,S_PH,S_Mean
1971,107,705,12,9.6,0,0,10,9.8,212,0,0,210,211
1971,107,705,14,1.9,0,0,1.5,1.7,182,0,0,192,187
1971,140,1728,12,1.9,0,0,1.5,,183,0,0,183.5,183.3
1971,140,1728,14,60.2,0,0,60,60.1,184,0,0,186,185
1971,192,1327,12,58.2,0,0,54.3,56.2,200,0,0,200,200
1971,192,1327,14,70.4,0,0,72.5,71.5,225,0,0,233,229
1972,2,2233,14,170,0,0,72.5,170,485,0,0,233,485
1972,2,2233,15,52,0,0,72.5,52,250,0,0,233,250
1973,72,801,12,34.2,34.1,34.2,34,34.1,267,272,267,233,268.7
1973,72,801,14,35.5,35.9,35.5,35,35.5,280,272,272.5,233,276.3
1973,72,801,15,100,99.7,100,109,102.2,465,272,398.5,233,431.8
1973,72,801,16,27.2,27.8,27.9,27.5,27.6,270,259.4,258.6,266,263.5
1973,171,2024,12,56.1,55,56,27.5,55.7,180,185.3,187.5,182,183.7
1973,171,2024,14,66.6,66.5,67,54,63.5,219,185.3,207.5,215,213.8
1973,171,2024,15,147.5,145.7,147.5,156,149.2,360,185.3,346,215,353
1973,171,2024,16,190.7,198.5,191,156,193.4,430,412.5,422.5,215,421.7
1974,192,50,12,138.7,138.5,138.7,156,138.6,459,412.5,417,215,438
1974,192,50,14,128.6,125.3,128.6,128,127.6,439,412.5,407,215,423
1974,192,50,15,57.5,56.5,57.5,57,57.1,255,412.5,263,242,253.3
1974,192,50,16,59.8,50.3,59.8,55.5,56.3,270,412.5,270,240,260
1975,3,146,12,33.5,33.6,33.5,34,33.7,270,269,255,240,262
1975,3,146,14,51.2,51.3,51.2,51,51.2,280,269,285,275,280
1975,3,146,15,61.1,60.5,61.1,62.5,61.3,300,269,300,275,300
1975,3,146,16,135,127.5,135,133,132.6,510,453,510,275,491
1975,12,317,14,137.7,127.5,137.5,140,138.4,368,453,356,275,362
1975,12,317,15,20,127.5,30,24,24.7,162,453,162,161,161.7
1975,12,317,16,124.8,127.5,125,24,124.9,331,453,331,331,331
1975,44,2204,14,58.3,58.2,58,24,58.2,108,107.8,108,331,107.9
1975,44,2204,15,190.4,189.5,190.4,24,190.1,330,325,329.5,331,328.2
1975,44,2204,16,140.9,149.6,145.5,24,145.3,265,257,265,331,262.3
1975,314,755,14,160,149.6,145.5,24,160,370,257,265,331,370
1975,314,755,15,120,149.6,145.5,24,120,300,257,265,331,300
1975,314,755,16,50,149.6,145.5,24,50,180,257,265,331,180
1976,4,1120,14,50,149.6,145.5,24,50,353,353.8,265,331,353.4
1976,4,1120,15,53.1,55.1,145.5,24,54.1,141,142,265,331,141.5
1976,4,1120,16,148,147.7,145.5,24,147.9,310,312,265,331,311
1976,66,1014,12,118,110.8,110.8,24,113.2,263,262,263,262.5,262.6
1976,66,1014,14,113.6,113.3,112,113.5,113.1,268,268.7,268,267.5,268.1
1976,66,1014,15,35.1,39.2,38,38.5,37.7,124,135.8,130,132.5,130.6
1976,66,1014,16,161.5,39.2,161,38.5,161.3,347,346,355,132.5,349.3
1976,68,1443,12,161.5,39.2,161,38.5,161.3,347,98.8,355,132.5,98.8
1976,68,1443,14,21.8,24.2,22,20,22,69,70.3,69,69,69.3
1976,68,1443,15,138.3,141.5,141,139.5,140.1,272,272.1,273,271,272
1976,68,1443,16,65,74.9,65,66,67.7,149,272.1,149,150,149.3